name,title,short_description,place,date,category,url,source,country,city,image_url
UzChemPlastExpo 2026,UzChemPlastExpo 2026,Международная специализированная выставка химической промышленности,НВК «Узэкспоцентр»,07.04.2026,Транспорт,https://expomap.ru/expo/uzchemplastexpo/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/UzChemPlastExpo-2026-logo.jpg
Упаковка. Оборудование и Материалы - O`ZuPACK 2026,Упаковка. Оборудование и Материалы - O`ZuPACK 2026,"Международная выставка упаковки, оборудований и материалов",НВК «Узэкспоцентр»,01.04.2026,Ритейл/FMCG,https://expomap.ru/expo/ozupack/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/ozupack.png
UzFood 2026,UzFood 2026,Международная выставка продуктов питания,НВК «Узэкспоцентр»,01.04.2026,Агросектор,https://expomap.ru/expo/uzfood/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/15596462823419a9d18521f25b448409eb8069f35549f5cb7721a_d35pfJS.3.png
AgroWorld Uzbekistan 2026,AgroWorld Uzbekistan 2026,Международная выставка Сельское хозяйство,НВК «Узэкспоцентр»,25.03.2026,Агросектор,https://expomap.ru/expo/agroworld-uzbekistan/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/logo_TRl28cN.3.png
Greenhouse Алматы 2026,Greenhouse Алматы 2026,Международная выставка садоводства и цветоводства,ВЦ «Атакент»,01.04.2026,Транспорт,https://expomap.ru/expo/greenhouse-almaty/,expomap.ru,Казахстан,Алматы,https://expomap.ru/media/exposition/logo/16696908835797a1dffb517fa07e7b912e740f1a216a09c8ebb2e2.7.jpg
ExpoBike Kazakhstan 2026,ExpoBike Kazakhstan 2026,выставка велосипедов,ВЦ «Атакент»,27.03.2026,Другое,https://expomap.ru/expo/expobike-kazakhstan/,expomap.ru,Казахстан,Алматы,https://expomap.ru/media/exposition/logo/logo_ok_Motoexpo_jhrsiGe.png
Central Asia Fashion Spring 2026,Central Asia Fashion Spring 2026,международная выставка моды,ВЦ «Атакент»,09.03.2026,Транспорт,https://expomap.ru/expo/central-asia-fashion/,expomap.ru,Казахстан,Алматы,https://expomap.ru/media/exposition/logo/central-asia-fashion-summer-2025-logo.1.jpg
МЕЖДУНАРОДНАЯ ОБРАЗОВАТЕЛЬНАЯ ВЫСТАВКА КАЗАХСТАНА 2026,МЕЖДУНАРОДНАЯ ОБРАЗОВАТЕЛЬНАЯ ВЫСТАВКА КАЗАХСТАНА 2026,"В предыдущем выпуске Казахстанской международной образовательной выставки приняли участие 25 учебных заведений из 10 стран, а более 1400 посетителей побывали…",,27.02.2026,Транспорт,https://vystavki.su/%d0%bc%d0%b5%d0%b6%d0%b4%d1%83%d0%bd%d0%b0%d1%80%d0%be%d0%b4%d0%bd%d0%b0%d1%8f-%d0%be%d0%b1%d1%80%d0%b0%d0%b7%d0%be%d0%b2%d0%b0%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d0%b0%d1%8f-%d0%b2%d1%8b%d1%81%d1%82%d0%b0/,vystavki.su,Казахстан,Астана,parsed_images/6d3fe762d5d1.jpg
UNITED PROPERTY EXPO 2026,UNITED PROPERTY EXPO 2026,"На выставке будет представлено более 10 000 объектов недвижимости из 12 стран. Крупные строительные компании, надежные девелоперы и проверенные агентства…",,18.02.2026,IT/Digital,https://vystavki.su/united-property-expo/,vystavki.su,Узбекистан,Ташкент,parsed_images/a338dde0dfbe.jpg
E-commerce Central Asia Expo 2026,E-commerce Central Asia Expo 2026,2-я международная выставка и конференция в средней азии для участников экосистемы электронной коммерции.,,,Транспорт,https://exposale.net/ru/exhibition/e-commerce-central-asia-expo,exposale.net,Узбекистан,Ташкент,parsed_images/1a91661b7eba.png
UzMiningExpo 2026,UzMiningExpo 2026,Международная специализированная выставка технологий и оборудования для горнодобывающей промышленности,НВК «Узэкспоцентр»,07.04.2026,Mining,https://expomap.ru/expo/uzminingexpo/,expomap.ru,Узбекистан,Ташкент,https://expomap.ru/media/exposition/logo/UzMiningExpo-2026-logo.jpg
Цветы.Теплицы. Фазенда 2026,Цветы.Теплицы. Фазенда 2026,16-я евразийская международная выставка цветов,КЦДС &quot;Атакент&quot;,01.04.2026,Транспорт,https://exposale.net/ru/exhibition/cvety-flowers-almaty,exposale.net,Казахстан,Алматы,https://exposale.net/template-admin/assets/elFinder/files/logotypes/Cveti_teplici_fazenda.jpg
Su Arnasy &ndash; Water Expo 2026,Su Arnasy &ndash; Water Expo 2026,15-я международная выставка и конференция водной индустрии,МВЦ &quot;EXPO&quot;,01.04.2026,Транспорт,https://exposale.net/ru/exhibition/su-arnasy-water-expo,exposale.net,Казахстан,Астана,https://exposale.net/template-admin/assets/elFinder/files/logotypes/su-arnasy-water-expo.png
Kazakhstan Machinery Fair 2026,Kazakhstan Machinery Fair 2026,7-я международная специализированная выставка по машиностроению и металлообработке,МВЦ &quot;EXPO&quot;,01.04.2026,IT/Digital,https://exposale.net/ru/exhibition/kazakhstan-machinery-fair,exposale.net,Казахстан,Астана,https://exposale.net/template-admin/assets/elFinder/files/logotypes/kazakhstan-machinery-fair.png
Motoexpo Kazakhstan 2026,Motoexpo Kazakhstan 2026,"3-я международная выставка мотоциклов, мопедов, велосипедов, запчастей и аксессуаров",КЦДС &quot;Атакент&quot;,27.03.2026,Транспорт,https://exposale.net/ru/exhibition/motoexpo-kazakhstan,exposale.net,Казахстан,Алматы,https://exposale.net/template-admin/assets/elFinder/files/logotypes/Motoexpo_Kz.jpg
ExpoBike Kazkhstan 2026,ExpoBike Kazkhstan 2026,Международная выставка велосипедов и аксессуаров,КЦДС &quot;Атакент&quot;,27.03.2026,Транспорт,https://exposale.net/ru/exhibition/expobike-kazkhstan,exposale.net,Казахстан,Алматы,https://exposale.net/template-admin/assets/elFinder/files/logotypes/logoBikeExpo.jpg
Central Asia Plast World 2026,Central Asia Plast World 2026,18-я международная выставка индустрии пластмасс,КЦДС &quot;Атакент&quot;,17.03.2026,Транспорт,https://exposale.net/ru/exhibition/central-asia-plast-world,exposale.net,Казахстан,Алматы,https://exposale.net/template-admin/assets/elFinder/files/logotypes/central-asia-plast-world.png
United Property and Invest Show 2026,United Property and Invest Show 2026,Выставка зарубежной недвижимости,Гостиница &quot;International&quot;,18.02.2026,IT/Digital,https://exposale.net/ru/exhibition/united-property-expo12345678910,exposale.net,Узбекистан,Ташкент,https://exposale.net/template-admin/assets/elFinder/files/logotypes/united-property-expo.png
HomeDeco 2026,HomeDeco 2026,18-я международная выставка домашнего текстиля и декора,КЦДС &quot;Атакент&quot;,16.02.2026,Транспорт,https://exposale.net/ru/exhibition/homedeco-kazahstan,exposale.net,Казахстан,Алматы,https://exposale.net/template-admin/assets/elFinder/files/logotypes/homedeco.jpg
Tobacco Industry Technologies 2026,Tobacco Industry Technologies 2026,Международная выставка табачной индустрии,Парк Анхор,01.12.2026,Транспорт,https://exposale.net/ru/exhibition/tobacco-industry-technologies,exposale.net,Узбекистан,Ташкент,https://exposale.net/template-admin/assets/elFinder/files/logotypes/logo%20tobaco%20(1).jpg
Lady EXPO 2026,Lady EXPO 2026,19-я международная выставка товаров и услуг для женщин,СКК им. Карена Демирчяна,04.09.2026,Ритейл/FMCG,https://exposale.net/ru/exhibition/ledi-expo,exposale.net,Армения,Ереван,https://exposale.net/template-admin/assets/elFinder/php/../files/logotypes/ledi-expo.png
Trans EXPO 2026,Trans EXPO 2026,25-я международная специализированная выставка транспорта и логистики,СКК им. Карена Демирчяна,04.09.2026,Транспорт,https://exposale.net/ru/exhibition/trans-expo,exposale.net,Армения,Ереван,https://exposale.net/template-admin/assets/elFinder/php/../files/logotypes/trans-expo.png
Comp EXPO 2026,Comp EXPO 2026,"Международная специализированная выставка it, безопасности и связи",СКК им. Карена Демирчяна,04.09.2026,IT/Digital,https://exposale.net/ru/exhibition/comp-expo,exposale.net,Армения,Ереван,https://exposale.net/template-admin/assets/elFinder/files/logotypes/comp_logo.gif
Армения EXPO 2026,Армения EXPO 2026,25-я универсальная международная торгово-промышленная выставка,СКК им. Карена Демирчяна,04.09.2026,Транспорт,https://exposale.net/ru/exhibition/armeniya-expo,exposale.net,Армения,Ереван,https://exposale.net/template-admin/assets/elFinder/php/../files/logotypes/armeniya-expo.png
Кавказ: Строительство и ремонт EXPO 2026,Кавказ: Строительство и ремонт EXPO 2026,22-я международная специализированная строительная выставка,СКК им. Карена Демирчяна,20.03.2026,Строительство,https://exposale.net/ru/exhibition/kavkaz-stroitelstvo-i-remont-expo,exposale.net,Армения,Ереван,https://exposale.net/template-admin/assets/elFinder/php/../files/logotypes/kavkaz-stroitelstvo-i-remont-expo.png
Business Technology Expo,Business Technology Expo,Business Technology Expo – Международная форум-выставка автоматизации и цифровизации бизнеса,,13.05.2026,Транспорт,https://astanahub.com/ru/event/business-technology-expo1751545272/,astanahub.com,Казахстан,Астана,parsed_images/db8d8b9d794b.png
Kazakhstan Security Systems,Kazakhstan Security Systems,Kazakhstan Security Systems – главная выставка по безопасности в Центральной Азии,,13.05.2026,IT/Digital,https://astanahub.com/ru/event/kazakhstan-security-systems1751545082/,astanahub.com,Казахстан,Астана,parsed_images/b031ae1ce859.png
Защита выпускных IT-проектов Attractor School Almaty,Защита выпускных IT-проектов Attractor School Almaty,Защита выпускных IT-проектов Attractor School Almaty,,15.04.2026,IT/Digital,https://astanahub.com/ru/event/zashchita-vypusknykh-it-proektov-attractor-school-almaty1769610089/,astanahub.com,Казахстан,Алматы,parsed_images/7076b4e85fbd.png
DIGITAL QAZAQSTAN,DIGITAL QAZAQSTAN,"В 2026 году международная площадка Digital Almaty трансформируется в Digital Qazaqstan — национальный технологический форум, ориентированный на практическую цифровую и AI-трансформацию экономики и развитие регионов страны.",,,IT/Digital,https://astanahub.com/ru/event/digital-qazaqstan/,astanahub.com,Казахстан,Астана,parsed_images/fdd58aaab8ce.png
Бизнес-форум в Словении,Бизнес-форум в Словении,"Приглашаем IT-стартапы принять участие в бизнес-форуме в Словении, который пройдет при участии Заместителя Премьер-Министра - Министра искусственного интеллекта и цифрового развития Ж.Х. Мадиева.",,12.03.2026,IT/Digital,https://astanahub.com/ru/event/biznes-forum-v-slovenii/,astanahub.com,Казахстан,Астана,parsed_images/587b5430db0d.png
🎨 Figma & AI: Скорость дизайна,🎨 Figma & AI: Скорость дизайна,,,25.02.2026,IT/Digital,https://astanahub.com/ru/event/figma-ai-skorost-dizaina/,astanahub.com,Казахстан,Астана,parsed_images/e1d9a81f6e48.png
Предприниматель нового образца: реальные кейсы применения AI в бизнесе,Предприниматель нового образца: реальные кейсы применения AI в бизнесе,"Онлайн-встреча для предпринимателей и руководителей о том, как искусственный интеллект реально применяется в бизнесе. Без теории и хайпа — на конкретных примерах из продаж, маркетинга, управления, работы с командой и финансов.",,24.02.2026,IT/Digital,https://astanahub.com/ru/event/predprinimatel-novogo-obraztsa-realnye-keisy-primeneniia-ai-v-biznese/,astanahub.com,Казахстан,Астана,parsed_images/89a32ee4f1aa.png
TalkIT – Open Mic: AI,TalkIT – Open Mic: AI,Готовы выйти на сцену и,,27.02.2026,IT/Digital,https://astanahub.com/ru/event/talkit-open-mic-ai/,astanahub.com,Казахстан,Астана,parsed_images/61c20e4a4a22.png
ITMLab 2.0: Demo Day,ITMLab 2.0: Demo Day,"26 февраля состоится финальное событие лаборатории ITMLab 2.0 — Demo Day, где команды стартапов и разработчиков представят инновационные решения, помогающие людям с инвалидностью в реабилитации, повседневной жизни и социальной интеграции.",,26.02.2026,IT/Digital,https://astanahub.com/ru/event/itmlab-2-0-demo-day/,astanahub.com,Казахстан,Астана,parsed_images/74dd23584140.png
🎤 Digital Start: AI и региональное развитие,🎤 Digital Start: AI и региональное развитие,"Как технологии меняют наш регион уже сегодня? На встрече поговорим о роли AI в развитии экономики, новых профессиях и возможностях для молодежи.",,18.02.2026,IT/Digital,https://astanahub.com/ru/event/digital-start-ai-i-regionalnoe-razvitie/,astanahub.com,Казахстан,Астана,parsed_images/9a5cc3e27c28.png
Банковский AI: 2026 год — время выходить из песочницы,Банковский AI: 2026 год — время выходить из песочницы,"Банковский AI: 2026 год — время выходить из песочницыТри года банки играли в искусственный интеллект. Пилот за пилотом, PoC за PoC — алгоритмы учились распознавать транзакции, прогнозировать отток, персонализировать предложения. Данные очищали, модели тренировали, отчеты для руководства рисовали. И каждый раз упирались в одно и то же стекло: дальше лаборатории проекты не шли.2026 год разбивает стекло. Вопрос не в том, внедрять AI или нет. Вопрос в том, кто успеет развернуть фабрику агентов до того, как это сделают конкуренты.25 февраля qCloudy проведет Banking Day — день, когда банковский AI перестает быть «перспективным направлением» и становится работающим конвейером.При партнёрстве NL, MUK и при поддержке AWSФормат: закрытая сессия для тех, кто устал доказывать эффективность AI и готов ",,,Транспорт,https://astanahub.com/ru/event/bankovskii-ai-2026-god-vremia-vykhodit-iz-pesochnitsy/,astanahub.com,Казахстан,Астана,parsed_images/a7ff1f896c20.png
Страхование в 2026: почему пилоты с AI больше не спасают — круглый стол по Agentic AI,Страхование в 2026: почему пилоты с AI больше не спасают — круглый стол по Agentic AI,"Страхование в 2026: почему пилоты с AI больше не спасаютСтраховой бизнес всегда строился на терпении. Длинные деньги, долгие хвосты, актуарные расчеты на десятилетия вперед. Здесь не любят спешки. Здесь привыкли семь раз отмерить, прежде чем отрезать.Но 2026 год не оставляет времени на седьмой замер. Пока страховщики тестируют AI в андеррайтинге, рынок уходит к тем, кто уже внедрил агентов в урегулирование убытков. Пока согласовываются бюджеты на RPA-роботов, алгоритмы конкурентов обрабатывают миллионы полисов без выходных и больничных. Пока регулятор пишет рекомендации по ИИ, лидеры отрасли сами диктуют ему стандарты.26 февраля qCloudy проведет Insurance Day. День, когда страхование перестанет бояться искусственного интеллекта и научится им управлять.При партнёрстве Neurons Lab, MUK и при",,,Финансы,https://astanahub.com/ru/event/strakhovanie-v-2026-pochemu-piloty-s-ai-bolshe-ne-spasaiut-kruglyi-stol-po-agentic-ai/,astanahub.com,Казахстан,Астана,parsed_images/a226d228d456.png
AI Tools: Новая реальность,AI Tools: Новая реальность,"AI уже стал практичным помощником в учёбе, работе и повседневных задачах. На встрече покажем, как адаптировать инструменты под свои цели: собирать идеи, улучшать тексты, строить план и быстро оформлять презентации.",,18.02.2026,IT/Digital,https://astanahub.com/ru/event/ai-tools-novaia-realnost/,astanahub.com,Казахстан,Астана,parsed_images/5085367d68c0.png
Genspark AI: новое поколение умного поиска,Genspark AI: новое поколение умного поиска,Genspark AI: новое поколение умного поиска,,18.02.2026,IT/Digital,https://astanahub.com/ru/event/genspark-ai-novoe-pokolenie-umnogo-poiska1771324376/,astanahub.com,Казахстан,Астана,parsed_images/26580d94b16c.png
🤖🎨 AI & Design: Новая эра в дизайне ✨,🤖🎨 AI & Design: Новая эра в дизайне ✨,"Пока одни боятся, что AI «заберёт работу» 😱, другие уже используют его, чтобы делать проекты сильнее, быстрее и креативнее ⚡️🔥",,23.02.2026,IT/Digital,https://astanahub.com/ru/event/ai-design-novaia-era-v-dizaine/,astanahub.com,Казахстан,Астана,parsed_images/f35a82d96782.png
🧩 AI + Web: где сходятся инженерия и продукт,🧩 AI + Web: где сходятся инженерия и продукт,"Поговорим о том, как сегодня объединяются веб-разработка и искусственный интеллект, и какую роль в этом играет инженер.",,19.02.2026,IT/Digital,https://astanahub.com/ru/event/ai-web-gde-skhodiatsia-inzheneriia-i-produkt/,astanahub.com,Казахстан,Астана,parsed_images/1ab0d90a1ae4.png
Круглый стол «Изменения роли архитектора в эпоху AI. От кода к смыслу»,Круглый стол «Изменения роли архитектора в эпоху AI. От кода к смыслу»,"Привет!​Эпоха «инноваций ради инноваций» официально закончилась. Высокие ставки, дефицит кадров и конец эры дешёвых денег превратили AI из эксперимента в дефляционный инструмент выживания бизнеса.​Для IT-архитектора это означает фундаментальный сдвиг: проектировать системы «как раньше» уже недостаточно. Теперь ваша задача – управлять неопределённостью, экономикой токенов и новыми рисками безопасности.",,17.02.2026,IT/Digital,https://astanahub.com/ru/event/kruglyi-stol-izmeneniia-roli-arkhitektora-v-epokhu-ai-ot-koda-k-smyslu/,astanahub.com,Казахстан,Астана,parsed_images/14efdbf2d8fe.png
Antigravity: Один шаг от идеи к продукту!,Antigravity: Один шаг от идеи к продукту!,"Antigravity: Один шаг от идеи к продукту!Хотите быстрее превратить свою идею в реальный результат? Мы покажем, как ускорить создание продукта и перестать топтаться на месте.",,19.02.2026,IT/Digital,https://astanahub.com/ru/event/antigravity-odin-shag-ot-idei-k-produktu/,astanahub.com,Казахстан,Астана,parsed_images/c338e07ab5eb.png
Data Community Birthday 2026,Data Community Birthday 2026,🎉Data Community Birthday — большое событие для специалистов в data и IT,,21.02.2026,IT/Digital,https://astanahub.com/ru/event/data-community-birthday-2026/,astanahub.com,Казахстан,Астана,parsed_images/494e62e82ad4.png
"AI, стартапы и новые таланты: какая экосистема нужна городу, чтобы вырастить инновации","AI, стартапы и новые таланты: какая экосистема нужна городу, чтобы вырастить инновации","AI, стартапы и новые таланты: какая экосистема нужна городу, чтобы вырастить инновации?18 февраля приходите, делитесь идеями, обсуждайте и вместе создадим инновационное будущее города.",,18.02.2026,IT/Digital,https://astanahub.com/ru/event/ai-startapy-i-novye-talanty-kakaia-ekosistema-nuzhna-gorodu-chtoby-vyrastit-innovatsii/,astanahub.com,Казахстан,Астана,parsed_images/5978c7697242.png
MedTech на стыке медицины и IT👩‍💻,MedTech на стыке медицины и IT👩‍💻,"18 февраля состоится встреча о том, как медицина и технологии всё чаще идут вместе 🤝 и почему сегодня специалисту важно выходить за рамки одной профессии.",,18.02.2026,IT/Digital,https://astanahub.com/ru/event/medtech-na-styke-meditsiny-i-it/,astanahub.com,Казахстан,Астана,parsed_images/a5c5568e0ba2.png
Основы Git,Основы Git,Git — это стандарт работы в любом современном IT-проекте.Если ты хочешь уверенно чувствовать себя в команде и понимать процессы разработки — эта база обязательна.,,19.02.2026,IT/Digital,https://astanahub.com/ru/event/osnovy-git/,astanahub.com,Казахстан,Астана,parsed_images/831ae051011d.png
"23-я Казахстанская Международная Выставка Упаковки, Тары и Этикетки",QazPack 2026,"23-я Казахстанская Международная Выставка Упаковки, Тары и Этикетки","Атакент, КЦДС",11.11.2026,$undefined,https://qazpack.kz/ru/,iteca.events,Казахстан,Алматы,parsed_images/295b61e73d55.jpg
